Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1967","1967","t","106382","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1967","1967","kg/ha","2.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1967","1967","kg/cap","1.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1967","1967","g/Int$","2.69","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1968","1968","t","9292","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1968","1968","t","135028","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1968","1968","t","144320","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1968","1968","kg/ha","3.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1968","1968","kg/cap","1.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1968","1968","g/Int$","3.56","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1969","1969","t","6460","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1969","1969","t","157970","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1969","1969","t","164430","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1969","1969","kg/ha","4.15","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1969","1969","kg/cap","1.75","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1969","1969","g/Int$","3.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1970","1970","t","22177","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1970","1970","t","256427","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1970","1970","t","278595","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1970","1970","kg/ha","6.93","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1970","1970","kg/cap","2.89","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1970","1970","g/Int$","6.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1971","1971","t","67711","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1971","1971","t","210570","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1971","1971","t","278281","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1971","1971","kg/ha","6.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1971","1971","kg/cap","2.82","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1971","1971","g/Int$","6.16","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1972","1972","t","78492","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1972","1972","t","323978","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1972","1972","t","828","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1972","1972","t","411642","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1972","1972","kg/ha","9.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1972","1972","kg/cap","4.07","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1972","1972","g/Int$","8.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1973","1973","t","114338","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1973","1973","t","234553","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1973","1973","t","1300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1973","1973","t","347591","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1973","1973","kg/ha","7.86","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1973","1973","kg/cap","3.35","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1973","1973","g/Int$","7.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1974","1974","t","150171","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1974","1974","t","239012","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","t","389183","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1974","1974","kg/ha","8.54","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1974","1974","kg/cap","3.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1974","1974","g/Int$","7.79","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1975","1975","t","160760","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1975","1975","t","245474","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","t","406234","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1975","1975","kg/ha","8.66","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1975","1975","kg/cap","3.74","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1975","1975","g/Int$","7.92","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1976","1976","t","200272","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1976","1976","t","298000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1976","1976","t","498272","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1976","1976","kg/ha","9.88","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1976","1976","kg/cap","4.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1976","1976","g/Int$","9.39","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1977","1977","t","231367","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1977","1977","t","469113","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1977","1977","t","700480","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1977","1977","kg/ha","12.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1977","1977","kg/cap","6.15","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1977","1977","g/Int$","12.35","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1978","1978","t","266868","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1978","1978","t","437275","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1978","1978","t","1900","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1978","1978","t","702243","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1978","1978","kg/ha","12.23","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1978","1978","kg/cap","6.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1978","1978","g/Int$","12.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1979","1979","t","284216","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1979","1979","t","496037","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1979","1979","t","1600","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1979","1979","t","778653","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1979","1979","kg/ha","12.78","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1979","1979","kg/cap","6.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1979","1979","g/Int$","13.13","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1980","1980","t","384305","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1980","1980","t","522455","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1980","1980","t","1300","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1980","1980","t","905460","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1980","1980","kg/ha","14.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1980","1980","kg/cap","7.4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1980","1980","g/Int$","13.84","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1981","1981","t","349579","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1981","1981","t","319061","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1981","1981","t","800","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1981","1981","t","667840","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1981","1981","kg/ha","10.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1981","1981","kg/cap","5.34","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1981","1981","g/Int$","9.74","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1982","1982","t","396759","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1982","1982","t","246841","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1982","1982","t","1300","X","Figure from international organizations","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1982","1982","t","642300","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1982","1982","kg/ha","9.64","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1982","1982","kg/cap","5.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1982","1982","g/Int$","9.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1983","1983","t","533295","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1983","1983","t","103901","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1983","1983","t","69147","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1983","1983","t","568049","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1983","1983","kg/ha","8.4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1983","1983","kg/cap","4.34","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1983","1983","g/Int$","8.14","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1984","1984","t","669237","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5610","Import quantity","3102","Nutrient nitrogen N (total)","1984","1984","t","153775","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5910","Export quantity","3102","Nutrient nitrogen N (total)","1984","1984","t","10132","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1984","1984","t","812880","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","076","Brazil","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1984","1984","kg/ha","11.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5172","Use per capita","3102","Nutrient nitrogen N (total)","1984","1984","kg/cap","6.07","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1984","1984","g/Int$","10.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","076","Brazil","5510","Production","3102","Nutrient nitrogen N (total)","1985","1985","t","696187","A","Official figure","Official data from questionnaire"
